Case ID,Alert ID,Transaction ID,Current Holder,Amount At Risk,Recovery Score,Probability,Status,Recommended Action,Created At
REC20260807_003_860e,ALT20260807213743_003_cbce,,ACC66777666,87726.0,83.0,HIGH,FAILED,Freeze destination account immediately,2026-08-07T21:37:43.006398
REC20260807_001_2184,ALT20260807202547_001_1ca8,,ACC57029336,173484.0,42.0,LOW,FAILED,Escalate to law enforcement and continue tracing,2026-08-07T20:25:47.090925
REC20260806_005_635f,ALT20260806214646_005_f777,,ACC57029336,113541.0,69.0,MEDIUM,ACTION_TAKEN,Monitor account and request transaction hold,2026-08-06T21:46:46.569412
REC20260806_053_90eb,ALT20260806211444_053_bd7c,,ACC36297523,91211.0,53.0,MEDIUM,FAILED,Monitor account and request transaction hold,2026-08-06T21:14:44.692481
REC20260806_056_e0c2,ALT20260806134035_056_3a70,,ACC75385116,140746.0,60.0,MEDIUM,FAILED,Monitor account and request transaction hold,2026-08-06T13:40:35.994028
REC20260806_041_acd9,ALT20260806092130_041_90cd,,ACC50081547,188537.0,48.0,LOW,FAILED,Escalate to law enforcement and continue tracing,2026-08-06T09:21:30.580699
REC20260805_027_7f88,ALT20260805194907_027_5a9b,,ACC_RING_C,237072.0,45.0,LOW,OPEN,Escalate to law enforcement and continue tracing,2026-08-05T19:49:07.964621
REC20260805_042_af97,ALT20260805001738_042_ee87,,ACC66777666,222497.0,78.0,MEDIUM,ACTION_TAKEN,Monitor account and request transaction hold,2026-08-05T00:17:38.033025
REC20260804_038_da9a,ALT20260804192134_038_1542,,ACC20858654,132918.0,54.0,MEDIUM,RECOVERED,Monitor account and request transaction hold,2026-08-04T19:21:34.627862
REC20260804_015_e8be,ALT20260804040715_015_49ff,,ACC75311120,109850.0,78.0,MEDIUM,OPEN,Monitor account and request transaction hold,2026-08-04T04:07:15.252060
REC20260803_052_8764,ALT20260803122926_052_32b3,,ACC59760987,75752.0,78.0,MEDIUM,FAILED,Monitor account and request transaction hold,2026-08-03T12:29:26.073136
REC20260803_007_cd53,ALT20260803045202_007_ddbb,,ACC40593754,128074.0,51.0,MEDIUM,OPEN,Monitor account and request transaction hold,2026-08-03T04:52:02.345895
REC20260803_008_d0f3,ALT20260803005407_008_da96,,ACC10897161,236252.0,79.0,MEDIUM,OPEN,Monitor account and request transaction hold,2026-08-03T00:54:07.580574
REC20260802_006_2db9,ALT20260802102935_006_9a3d,,ACC10897161,198662.0,50.0,MEDIUM,ACTION_TAKEN,Monitor account and request transaction hold,2026-08-02T10:29:35.250785
REC20260802_031_68fd,ALT20260802044208_031_c064,,ACC82456100,112301.0,48.0,LOW,OPEN,Escalate to law enforcement and continue tracing,2026-08-02T04:42:08.982524
REC20260802_047_a8a0,ALT20260802014229_047_7255,,ACC15373430,180579.0,58.0,MEDIUM,OPEN,Monitor account and request transaction hold,2026-08-02T01:42:29.346240
REC20260802_017_a372,ALT20260802004753_017_4bea,,ACC11706152,121247.0,56.0,MEDIUM,OPEN,Monitor account and request transaction hold,2026-08-02T00:47:53.383660
REC20260801_040_7d26,ALT20260801090027_040_8e9b,,ACC57224534,60297.0,56.0,MEDIUM,ACTION_TAKEN,Monitor account and request transaction hold,2026-08-01T09:00:27.398290
REC20260731_021_fc7c,ALT20260731184402_021_ad25,,ACC97828025,186895.0,50.0,MEDIUM,ACTION_TAKEN,Monitor account and request transaction hold,2026-07-31T18:44:02.928032
REC20260731_037_6f84,ALT20260731142844_037_b963,,ACC64246741,186044.0,53.0,MEDIUM,ACTION_TAKEN,Monitor account and request transaction hold,2026-07-31T14:28:44.460312
REC20260729_011_ff25,ALT20260729060450_011_95cc,,ACC74473089,190849.0,84.0,HIGH,FAILED,Freeze destination account immediately,2026-07-29T06:04:50.386934
REC20260728_004_58b2,ALT20260728140703_004_93a5,,ACC43907404,100522.0,83.0,HIGH,RECOVERED,Freeze destination account immediately,2026-07-28T14:07:03.466633
REC20260726_054_8d07,ALT20260726230032_054_4584,,ACC75311120,143845.0,46.0,LOW,FAILED,Escalate to law enforcement and continue tracing,2026-07-26T23:00:32.940511
REC20260726_019_1c2a,ALT20260726161233_019_5213,,ACC39727090,123116.0,78.0,MEDIUM,OPEN,Monitor account and request transaction hold,2026-07-26T16:12:33.058996
REC20260726_055_97d9,ALT20260726032303_055_e1cc,,ACC39727090,196904.0,75.0,MEDIUM,RECOVERED,Monitor account and request transaction hold,2026-07-26T03:23:03.507759
REC20260725_034_a7f6,ALT20260725175815_034_fca7,,ACC66777666,131377.0,67.0,MEDIUM,ACTION_TAKEN,Monitor account and request transaction hold,2026-07-25T17:58:15.114390
REC20260725_039_7aac,ALT20260725082636_039_d819,,ACC43249524,100203.0,43.0,LOW,FAILED,Escalate to law enforcement and continue tracing,2026-07-25T08:26:36.181639
REC20260725_002_b5f6,ALT20260725051542_002_4d59,,ACC86445636,63182.0,50.0,MEDIUM,OPEN,Monitor account and request transaction hold,2026-07-25T05:15:42.724729
REC20260724_044_d273,ALT20260724200225_044_6bbe,,ACC91181015,93095.0,46.0,LOW,RECOVERED,Escalate to law enforcement and continue tracing,2026-07-24T20:02:25.249715
REC20260723_050_bf70,ALT20260723164334_050_f8cd,,ACC72717142,225078.0,38.0,LOW,OPEN,Escalate to law enforcement and continue tracing,2026-07-23T16:43:34.962489
REC20260723_026_b2d0,ALT20260723034854_026_a7ce,,ACC_RING_C,102517.0,94.0,HIGH,ACTION_TAKEN,Freeze destination account immediately,2026-07-23T03:48:54.188361
REC20260721_059_ec79,ALT20260721111202_059_b13f,,ACC91181015,244172.0,52.0,MEDIUM,ACTION_TAKEN,Monitor account and request transaction hold,2026-07-21T11:12:02.304943
REC20260719_046_e0e5,ALT20260719142028_046_e82e,,ACC65809811,210356.0,51.0,MEDIUM,FAILED,Monitor account and request transaction hold,2026-07-19T14:20:28.373245
REC20260716_023_e06b,ALT20260716235258_023_ad64,,ACC75385116,129274.0,76.0,MEDIUM,OPEN,Monitor account and request transaction hold,2026-07-16T23:52:58.812464
REC20260716_025_851f,ALT20260716141400_025_70eb,,ACC15211290,242255.0,65.0,MEDIUM,ACTION_TAKEN,Monitor account and request transaction hold,2026-07-16T14:14:00.453996
REC20260716_022_3ecd,ALT20260716095749_022_5695,,ACC57224534,143026.0,59.0,MEDIUM,OPEN,Monitor account and request transaction hold,2026-07-16T09:57:49.249719
REC20260716_032_3c88,ALT20260716061456_032_16ce,,ACC61076366,193535.0,71.0,MEDIUM,FAILED,Monitor account and request transaction hold,2026-07-16T06:14:56.541797
REC20260715_051_b6fa,ALT20260715223650_051_5874,,ACC59760987,216640.0,60.0,MEDIUM,RECOVERED,Monitor account and request transaction hold,2026-07-15T22:36:50.832080
REC20260715_033_5686,ALT20260715133137_033_c8d4,,ACC50081547,125139.0,63.0,MEDIUM,FAILED,Monitor account and request transaction hold,2026-07-15T13:31:37.306109
REC20260715_018_6b40,ALT20260715045056_018_4b33,,ACC64246741,157989.0,42.0,LOW,OPEN,Escalate to law enforcement and continue tracing,2026-07-15T04:50:56.439859
REC20260714_036_94e1,ALT20260714052029_036_378d,,ACC72717142,185724.0,71.0,MEDIUM,RECOVERED,Monitor account and request transaction hold,2026-07-14T05:20:29.598770
REC20260713_012_7858,ALT20260713224951_012_3e4b,,ACC1003,147754.0,65.0,MEDIUM,OPEN,Monitor account and request transaction hold,2026-07-13T22:49:51.985118
REC20260713_058_c4fd,ALT20260713004451_058_a581,,ACC43249524,165207.0,81.0,HIGH,ACTION_TAKEN,Freeze destination account immediately,2026-07-13T00:44:51.013144
REC20260712_043_1cf9,ALT20260712231240_043_413a,,ACC_RING_A,101882.0,69.0,MEDIUM,ACTION_TAKEN,Monitor account and request transaction hold,2026-07-12T23:12:40.337991
