Alert ID,Transaction ID,Account Number,Alert Type,Risk Score,Severity,Status,Created At
ALT20260812061803_009_f9e5,TXN_20260812_00009_4c1f47,ACC25189145,Rapid Transfers,66.0,HIGH,OPEN,2026-08-12T06:18:03.694217
ALT20260812041708_069_1539,TXN_20260812_00840_737131,ACC36297523,"Mule Account Activity, Device Change",85.0,CRITICAL,UNDER_REVIEW,2026-08-12T04:17:08.829771
ALT20260811191550_098_e056,TXN_20260811_02000_c2a159,ACC43907404,Balance Drain,86.0,CRITICAL,UNDER_REVIEW,2026-08-11T19:15:50.352027
ALT20260810145643_111_26ba,TXN_20260810_02520_ebc2b8,ACC10897161,Rapid Transfers,79.0,HIGH,CLOSED,2026-08-10T14:56:43.923939
ALT20260810115907_020_ff98,TXN_20260810_00020_8d4583,ACC75385116,Large Transaction,77.0,HIGH,OPEN,2026-08-10T11:59:07.313418
ALT20260810053942_102_4517,TXN_20260810_02160_e0f897,ACC39727090,Rapid Transfers,92.0,CRITICAL,UNDER_REVIEW,2026-08-10T05:39:42.294232
ALT20260808104410_000_e341,TXN_20260808_00000_bc5947,ACC1001,New Account Activity,93.0,CRITICAL,UNDER_REVIEW,2026-08-08T10:44:10.459345
ALT20260808102515_030_3b2d,TXN_20260808_00030_a328a5,ACC1001,Very Large Transaction,94.0,CRITICAL,OPEN,2026-08-08T10:25:15.631022
ALT20260808064720_074_1358,TXN_20260808_01040_684244,ACC1002,"Mule Account Activity, Rapid Transfers",80.0,CRITICAL,UNDER_REVIEW,2026-08-08T06:47:20.529903
ALT20260808020130_024_2469,TXN_20260808_00024_85fa3e,ACC_RING_C,Rapid Transfers,65.0,HIGH,CLOSED,2026-08-08T02:01:30.885026
ALT20260808015122_014_d3ea,TXN_20260808_00014_9d272f,ACC74473089,Large Transaction,94.0,CRITICAL,CLOSED,2026-08-08T01:51:22.918445
ALT20260807213743_003_cbce,TXN_20260807_00003_b18727,ACC20858654,"Very Large Transaction, Impossible Travel, Mule Account Activity",95.0,CRITICAL,UNDER_REVIEW,2026-08-07T21:37:43.006398
ALT20260807202547_001_1ca8,TXN_20260807_00001_01e4f4,ACC_RING_A,"Mule Account Activity, Large Transaction, Very Large Transaction",87.0,CRITICAL,OPEN,2026-08-07T20:25:47.090925
ALT20260806214646_005_f777,TXN_20260806_00005_597751,ACC61076366,New Account Activity,75.0,HIGH,UNDER_REVIEW,2026-08-06T21:46:46.569412
ALT20260806211444_053_bd7c,TXN_20260806_00200_cedddf,ACC_RING_C,Impossible Travel,68.0,HIGH,CLOSED,2026-08-06T21:14:44.692481
ALT20260806134035_056_3a70,TXN_20260806_00320_bad216,ACC57029336,Impossible Travel,98.0,CRITICAL,CLOSED,2026-08-06T13:40:35.994028
ALT20260806092130_041_90cd,TXN_20260806_00041_cf21d7,ACC16314613,"Rapid Transfers, New Account Activity, Large Transaction",71.0,HIGH,UNDER_REVIEW,2026-08-06T09:21:30.580699
ALT20260805224454_072_1614,TXN_20260805_00960_346624,ACC75311120,"Impossible Travel, Rapid Transfers, Balance Drain",87.0,CRITICAL,OPEN,2026-08-05T22:44:54.778968
ALT20260805194907_027_5a9b,TXN_20260805_00027_b6f4d8,ACC59760987,"Rapid Transfers, Balance Drain",78.0,HIGH,UNDER_REVIEW,2026-08-05T19:49:07.964621
ALT20260805194432_091_01dc,TXN_20260805_01720_5896f6,ACC_RING_A,"Device Change, Rapid Transfers",95.0,CRITICAL,UNDER_REVIEW,2026-08-05T19:44:32.191358
ALT20260805055148_078_264e,TXN_20260805_01200_e97277,ACC91181015,Balance Drain,97.0,CRITICAL,OPEN,2026-08-05T05:51:48.776812
ALT20260805050335_079_77b0,TXN_20260805_01240_d6a09a,ACC57029336,"Very Large Transaction, Device Change, Large Transaction",71.0,HIGH,UNDER_REVIEW,2026-08-05T05:03:35.240168
ALT20260805045936_110_d362,TXN_20260805_02480_a85fd4,ACC75311120,"New Account Activity, Rapid Transfers, Mule Account Activity",89.0,CRITICAL,CLOSED,2026-08-05T04:59:36.162423
ALT20260805001738_042_ee87,TXN_20260805_00042_6bb61b,ACC15373430,Mule Account Activity,72.0,HIGH,UNDER_REVIEW,2026-08-05T00:17:38.033025
ALT20260804195552_086_a9cc,TXN_20260804_01520_88df22,ACC66777666,"Mule Account Activity, Balance Drain, Large Transaction",94.0,CRITICAL,CLOSED,2026-08-04T19:55:52.583009
ALT20260804192134_038_1542,TXN_20260804_00038_6a2940,ACC57029336,Impossible Travel,91.0,CRITICAL,UNDER_REVIEW,2026-08-04T19:21:34.627862
ALT20260804040715_015_49ff,TXN_20260804_00015_5d7e6b,ACC61076366,"Rapid Transfers, Device Change",70.0,HIGH,CLOSED,2026-08-04T04:07:15.252060
ALT20260804011605_070_0393,TXN_20260804_00880_6095d8,ACC70103438,Rapid Transfers,88.0,CRITICAL,CLOSED,2026-08-04T01:16:05.231705
ALT20260803184415_114_6bb4,TXN_20260803_02640_4b64d4,ACC70103438,"Device Change, Large Transaction",71.0,HIGH,OPEN,2026-08-03T18:44:15.659355
ALT20260803122926_052_32b3,TXN_20260803_00160_99ca0c,ACC70103438,Large Transaction,83.0,CRITICAL,OPEN,2026-08-03T12:29:26.073136
ALT20260803045202_007_ddbb,TXN_20260803_00007_f0d7b8,ACC82456100,Large Transaction,95.0,CRITICAL,OPEN,2026-08-03T04:52:02.345895
ALT20260803005407_008_da96,TXN_20260803_00008_016e45,ACC25189145,"New Account Activity, Very Large Transaction",84.0,CRITICAL,UNDER_REVIEW,2026-08-03T00:54:07.580574
ALT20260802102935_006_9a3d,TXN_20260802_00006_a05410,ACC72717142,"Mule Account Activity, Rapid Transfers",98.0,CRITICAL,OPEN,2026-08-02T10:29:35.250785
ALT20260802074732_109_fbf3,TXN_20260802_02440_e9faf2,ACC70103438,"Mule Account Activity, Balance Drain",96.0,CRITICAL,CLOSED,2026-08-02T07:47:32.987587
ALT20260802044208_031_c064,TXN_20260802_00031_6b76cb,ACC25189145,"Mule Account Activity, Very Large Transaction, Large Transaction",77.0,HIGH,UNDER_REVIEW,2026-08-02T04:42:08.982524
ALT20260802014229_047_7255,TXN_20260802_00047_23dc59,ACC_RING_B,"Impossible Travel, Balance Drain, Rapid Transfers",89.0,CRITICAL,CLOSED,2026-08-02T01:42:29.346240
ALT20260802004753_017_4bea,TXN_20260802_00017_959970,ACC75385116,"New Account Activity, Rapid Transfers, Impossible Travel",69.0,HIGH,UNDER_REVIEW,2026-08-02T00:47:53.383660
ALT20260801111233_084_ca2c,TXN_20260801_01440_095d7e,ACC66777666,"Mule Account Activity, Device Change, Balance Drain",78.0,HIGH,CLOSED,2026-08-01T11:12:33.257442
ALT20260801100011_103_ed49,TXN_20260801_02200_6b150d,ACC92107699,"New Account Activity, Impossible Travel",66.0,HIGH,CLOSED,2026-08-01T10:00:11.865664
ALT20260801090027_040_8e9b,TXN_20260801_00040_efa568,ACC64246741,"New Account Activity, Large Transaction, Balance Drain",92.0,CRITICAL,CLOSED,2026-08-01T09:00:27.398290
ALT20260801061833_092_8738,TXN_20260801_01760_1754dc,ACC65809811,"Very Large Transaction, Rapid Transfers",73.0,HIGH,UNDER_REVIEW,2026-08-01T06:18:33.373820
ALT20260731184402_021_ad25,TXN_20260731_00021_9ac21e,ACC64246741,"Impossible Travel, Balance Drain, Rapid Transfers",86.0,CRITICAL,OPEN,2026-07-31T18:44:02.928032
ALT20260731142844_037_b963,TXN_20260731_00037_0d0bf8,ACC1004,"Impossible Travel, Mule Account Activity",73.0,HIGH,CLOSED,2026-07-31T14:28:44.460312
ALT20260731081025_066_a464,TXN_20260731_00720_c9daae,ACC43249524,"Impossible Travel, Rapid Transfers",69.0,HIGH,OPEN,2026-07-31T08:10:25.263017
ALT20260731074724_108_2d7d,TXN_20260731_02400_bf7da3,ACC65809811,"New Account Activity, Impossible Travel, Very Large Transaction",87.0,CRITICAL,OPEN,2026-07-31T07:47:24.179836
ALT20260731012552_117_1a83,TXN_20260731_02760_72069e,ACC40593754,"Large Transaction, Balance Drain",67.0,HIGH,OPEN,2026-07-31T01:25:52.507230
ALT20260729184758_094_7e44,TXN_20260729_01840_8fdccc,ACC57029336,"Rapid Transfers, New Account Activity",79.0,HIGH,CLOSED,2026-07-29T18:47:58.164923
ALT20260729060450_011_95cc,TXN_20260729_00011_2115c3,ACC91181015,"Rapid Transfers, Mule Account Activity, New Account Activity",87.0,CRITICAL,UNDER_REVIEW,2026-07-29T06:04:50.386934
ALT20260729042123_063_64c1,TXN_20260729_00600_7c379d,ACC1004,"Device Change, New Account Activity, Impossible Travel",81.0,CRITICAL,OPEN,2026-07-29T04:21:23.640800
ALT20260728140703_004_93a5,TXN_20260728_00004_8c7a80,ACC16314613,"Mule Account Activity, Large Transaction, Very Large Transaction",87.0,CRITICAL,OPEN,2026-07-28T14:07:03.466633
ALT20260728133508_077_b62b,TXN_20260728_01160_13fa0e,ACC10897161,Very Large Transaction,66.0,HIGH,CLOSED,2026-07-28T13:35:08.619935
ALT20260728102855_062_bd20,TXN_20260728_00560_3411dd,ACC50081547,"Mule Account Activity, Impossible Travel, Large Transaction",78.0,HIGH,CLOSED,2026-07-28T10:28:55.184054
ALT20260727225056_060_80dc,TXN_20260727_00480_ca06c1,ACC16314613,"Very Large Transaction, Mule Account Activity, New Account Activity",82.0,CRITICAL,OPEN,2026-07-27T22:50:56.162926
ALT20260727182736_067_49b1,TXN_20260727_00760_3b473f,ACC_RING_B,Balance Drain,68.0,HIGH,UNDER_REVIEW,2026-07-27T18:27:36.390136
ALT20260727111050_101_96a7,TXN_20260727_02120_bb6ab9,ACC25189145,"Impossible Travel, Balance Drain, Very Large Transaction",86.0,CRITICAL,CLOSED,2026-07-27T11:10:50.998364
ALT20260727110706_099_05a8,TXN_20260727_02040_7c6879,ACC40593754,Balance Drain,87.0,CRITICAL,OPEN,2026-07-27T11:07:06.680447
ALT20260726230032_054_4584,TXN_20260726_00240_31760a,ACC75385116,"Device Change, Mule Account Activity, Impossible Travel",88.0,CRITICAL,CLOSED,2026-07-26T23:00:32.940511
ALT20260726170102_107_f3bc,TXN_20260726_02360_eb7295,ACC36297523,"Impossible Travel, Device Change",87.0,CRITICAL,CLOSED,2026-07-26T17:01:02.696023
ALT20260726161233_019_5213,TXN_20260726_00019_4433ff,ACC92107699,"Rapid Transfers, Balance Drain, Very Large Transaction",79.0,HIGH,OPEN,2026-07-26T16:12:33.058996
ALT20260726032303_055_e1cc,TXN_20260726_00280_20ee31,ACC43467724,Balance Drain,69.0,HIGH,OPEN,2026-07-26T03:23:03.507759
ALT20260726015601_104_4266,TXN_20260726_02240_270457,ACC1004,"New Account Activity, Mule Account Activity, Large Transaction",66.0,HIGH,UNDER_REVIEW,2026-07-26T01:56:01.222251
ALT20260725175815_034_fca7,TXN_20260725_00034_4cb951,ACC15211290,Rapid Transfers,98.0,CRITICAL,UNDER_REVIEW,2026-07-25T17:58:15.114390
ALT20260725164207_082_1f1d,TXN_20260725_01360_a61954,ACC1004,"Rapid Transfers, Large Transaction, Device Change",97.0,CRITICAL,OPEN,2026-07-25T16:42:07.016554
ALT20260725162402_068_0bfa,TXN_20260725_00800_ee2fea,ACC15373430,Very Large Transaction,80.0,CRITICAL,OPEN,2026-07-25T16:24:02.795185
ALT20260725082636_039_d819,TXN_20260725_00039_fb14f3,ACC57224534,"Device Change, Very Large Transaction",83.0,CRITICAL,OPEN,2026-07-25T08:26:36.181639
ALT20260725051542_002_4d59,TXN_20260725_00002_e0dad2,ACC1001,"New Account Activity, Impossible Travel, Large Transaction",80.0,CRITICAL,UNDER_REVIEW,2026-07-25T05:15:42.724729
ALT20260724214702_116_8026,TXN_20260724_02720_739a45,ACC25189145,"Balance Drain, Impossible Travel",83.0,CRITICAL,UNDER_REVIEW,2026-07-24T21:47:02.153519
ALT20260724200225_044_6bbe,TXN_20260724_00044_a0f518,ACC_RING_B,"Impossible Travel, Very Large Transaction, Rapid Transfers",91.0,CRITICAL,OPEN,2026-07-24T20:02:25.249715
ALT20260724142524_093_4d2d,TXN_20260724_01800_4f868f,ACC_RING_B,Mule Account Activity,89.0,CRITICAL,CLOSED,2026-07-24T14:25:24.519325
ALT20260724012524_076_c07d,TXN_20260724_01120_1bee46,ACC43907404,"Impossible Travel, Mule Account Activity, Device Change",84.0,CRITICAL,OPEN,2026-07-24T01:25:24.619501
ALT20260723164334_050_f8cd,TXN_20260723_00080_90b787,ACC57029336,New Account Activity,74.0,HIGH,CLOSED,2026-07-23T16:43:34.962489
ALT20260723034854_026_a7ce,TXN_20260723_00026_16effe,ACC91181015,Large Transaction,92.0,CRITICAL,UNDER_REVIEW,2026-07-23T03:48:54.188361
ALT20260722204400_113_64fa,TXN_20260722_02600_af1c89,ACC72717142,Device Change,95.0,CRITICAL,UNDER_REVIEW,2026-07-22T20:44:00.406317
ALT20260722122013_096_fd28,TXN_20260722_01920_d72b57,ACC72717142,"Mule Account Activity, Very Large Transaction",96.0,CRITICAL,UNDER_REVIEW,2026-07-22T12:20:13.391694
ALT20260721234013_105_5b6c,TXN_20260721_02280_23382f,ACC59760987,"Large Transaction, Rapid Transfers",69.0,HIGH,UNDER_REVIEW,2026-07-21T23:40:13.952137
ALT20260721131055_071_b211,TXN_20260721_00920_9ae3e7,ACC1002,"Rapid Transfers, New Account Activity, Impossible Travel",70.0,HIGH,UNDER_REVIEW,2026-07-21T13:10:55.776949
ALT20260721111202_059_b13f,TXN_20260721_00440_239102,ACC10897161,Impossible Travel,94.0,CRITICAL,CLOSED,2026-07-21T11:12:02.304943
ALT20260721103258_075_5492,TXN_20260721_01080_05b350,ACC40593754,"Rapid Transfers, Mule Account Activity",76.0,HIGH,UNDER_REVIEW,2026-07-21T10:32:58.472242
ALT20260721005505_073_7905,TXN_20260721_01000_28fb8e,ACC43249524,"New Account Activity, Device Change, Balance Drain",87.0,CRITICAL,CLOSED,2026-07-21T00:55:05.903305
ALT20260720110916_085_8a16,TXN_20260720_01480_8a1076,ACC1001,Rapid Transfers,98.0,CRITICAL,CLOSED,2026-07-20T11:09:16.209454
ALT20260719173051_095_2392,TXN_20260719_01880_d85353,ACC16314613,"Very Large Transaction, Device Change",88.0,CRITICAL,OPEN,2026-07-19T17:30:51.436009
ALT20260719142028_046_e82e,TXN_20260719_00046_4f028d,ACC1002,"New Account Activity, Device Change, Rapid Transfers",68.0,HIGH,CLOSED,2026-07-19T14:20:28.373245
ALT20260719021853_090_beaa,TXN_20260719_01680_749f5f,ACC43467724,"Mule Account Activity, New Account Activity",97.0,CRITICAL,OPEN,2026-07-19T02:18:53.991524
ALT20260718122032_065_6a46,TXN_20260718_00680_31b864,ACC86445636,Large Transaction,76.0,HIGH,UNDER_REVIEW,2026-07-18T12:20:32.045037
ALT20260718043856_088_b616,TXN_20260718_01600_e11cde,ACC1003,Balance Drain,92.0,CRITICAL,CLOSED,2026-07-18T04:38:56.564266
ALT20260717231228_115_5015,TXN_20260717_02680_509f44,ACC43907404,"Impossible Travel, New Account Activity",67.0,HIGH,CLOSED,2026-07-17T23:12:28.480856
ALT20260717142202_118_c806,TXN_20260717_02800_70997e,ACC70103438,Impossible Travel,92.0,CRITICAL,UNDER_REVIEW,2026-07-17T14:22:02.641655
ALT20260717061629_083_42a7,TXN_20260717_01400_d80d87,ACC57224534,"Large Transaction, Device Change, Very Large Transaction",82.0,CRITICAL,OPEN,2026-07-17T06:16:29.841273
ALT20260717043850_100_42d8,TXN_20260717_02080_a4feba,ACC57224534,"Balance Drain, Large Transaction",88.0,CRITICAL,UNDER_REVIEW,2026-07-17T04:38:50.734300
ALT20260716235258_023_ad64,TXN_20260716_00023_d96525,ACC11706152,"Impossible Travel, Rapid Transfers",70.0,HIGH,UNDER_REVIEW,2026-07-16T23:52:58.812464
ALT20260716141400_025_70eb,TXN_20260716_00025_54fa15,ACC75385116,"New Account Activity, Very Large Transaction, Balance Drain",91.0,CRITICAL,OPEN,2026-07-16T14:14:00.453996
ALT20260716095749_022_5695,TXN_20260716_00022_ff321c,ACC43249524,Rapid Transfers,76.0,HIGH,UNDER_REVIEW,2026-07-16T09:57:49.249719
ALT20260716061456_032_16ce,TXN_20260716_00032_b07ea4,ACC_RING_B,"Device Change, Balance Drain",92.0,CRITICAL,CLOSED,2026-07-16T06:14:56.541797
ALT20260715223650_051_5874,TXN_20260715_00120_32d8d2,ACC97828025,"Device Change, Rapid Transfers, Large Transaction",74.0,HIGH,OPEN,2026-07-15T22:36:50.832080
ALT20260715133137_033_c8d4,TXN_20260715_00033_9720e1,ACC65809811,Mule Account Activity,89.0,CRITICAL,CLOSED,2026-07-15T13:31:37.306109
ALT20260715045056_018_4b33,TXN_20260715_00018_0ec6b1,ACC43249524,Mule Account Activity,76.0,HIGH,OPEN,2026-07-15T04:50:56.439859
ALT20260715015242_064_99e7,TXN_20260715_00640_9122d3,ACC61076366,Mule Account Activity,91.0,CRITICAL,UNDER_REVIEW,2026-07-15T01:52:42.878149
ALT20260714052029_036_378d,TXN_20260714_00036_4f9dae,ACC61076366,"Large Transaction, Device Change",90.0,CRITICAL,UNDER_REVIEW,2026-07-14T05:20:29.598770
ALT20260713224951_012_3e4b,TXN_20260713_00012_5915a1,ACC39727090,"Large Transaction, Very Large Transaction, New Account Activity",87.0,CRITICAL,UNDER_REVIEW,2026-07-13T22:49:51.985118
ALT20260713115531_080_90e4,TXN_20260713_01280_f55b6a,ACC16314613,"Very Large Transaction, Impossible Travel, Device Change",95.0,CRITICAL,UNDER_REVIEW,2026-07-13T11:55:31.740183
ALT20260713004451_058_a581,TXN_20260713_00400_ebadc5,ACC15373430,"Impossible Travel, Balance Drain, Large Transaction",91.0,CRITICAL,CLOSED,2026-07-13T00:44:51.013144
ALT20260712231240_043_413a,TXN_20260712_00043_26c248,ACC82456100,"Impossible Travel, Balance Drain, New Account Activity",77.0,HIGH,CLOSED,2026-07-12T23:12:40.337991
ALT20260712191111_089_f499,TXN_20260712_01640_382fe2,ACC39727090,Balance Drain,94.0,CRITICAL,OPEN,2026-07-12T19:11:11.195760
ALT20260712172332_112_0bea,TXN_20260712_02560_992fa5,ACC86445636,"Impossible Travel, Device Change",88.0,CRITICAL,CLOSED,2026-07-12T17:23:32.489514
ALT20260712153853_081_930b,TXN_20260712_01320_20d364,ACC59760987,"Balance Drain, Large Transaction, Rapid Transfers",93.0,CRITICAL,CLOSED,2026-07-12T15:38:53.297820
